long_name,age_15,overall_15,age_16,overall_16,age_17,overall_17,age_18,overall_18,age_19,overall_19,age_20,overall_20,current_player_name,player_position,current_club,age_21,overall_21,overall_average,overall_21_predicted,age_22,age_23,age_24,overall_22_predicted,overall_23_predicted,overall_24_predicted
Lionel Andrés Messi Cuccittini,27.0,93.0,28.0,94.0,29.0,93.0,30.0,93.0,31.0,94.0,32.0,94.0,L. Messi,Midfielder,FC Barcelona,33.0,93.0,93.5,92.9,34.0,35.0,36.0,92.46,92.09,91.76
Cristiano Ronaldo dos Santos Aveiro,29.0,92.0,30.0,93.0,31.0,94.0,32.0,94.0,33.0,94.0,34.0,93.0,Cristiano Ronaldo,Forward,Juventus,35.0,92.0,92.5,91.83,36.0,37.0,38.0,91.31,90.86,90.45
Arjen Robben,30.0,90.0,31.0,90.0,32.0,87.0,33.0,88.0,34.0,85.0,35.0,80.0,A. Robben,Midfielder,FC Groningen,36.0,80.0,80.0,79.58,37.0,38.0,39.0,79.16,78.8,78.48
Zlatan Ibrahimović,32.0,90.0,33.0,89.0,34.0,90.0,35.0,88.0,36.0,85.0,37.0,85.0,Z. Ibrahimović,Forward,Milan,38.0,83.0,84.0,83.41,39.0,40.0,41.0,82.87,82.4,81.97
Manuel Neuer,28.0,90.0,29.0,90.0,30.0,92.0,31.0,92.0,32.0,90.0,33.0,88.0,M. Neuer,Goalkeeper,FC Bayern München,34.0,89.0,88.5,87.99,35.0,36.0,37.0,87.58,87.23,86.93
Luis Alberto Suárez Díaz,27.0,89.0,28.0,90.0,29.0,92.0,30.0,92.0,31.0,91.0,32.0,89.0,L. Suárez,Forward,FC Barcelona,33.0,87.0,88.0,87.55,34.0,35.0,36.0,87.19,86.9,86.65
Andrés Iniesta Luján,30.0,89.0,31.0,88.0,32.0,88.0,33.0,87.0,34.0,87.0,35.0,83.0,Iniesta,Midfielder,Vissel Kobe,36.0,81.0,82.0,81.54,37.0,38.0,39.0,81.1,80.72,80.39
Eden Hazard,23.0,88.0,24.0,89.0,25.0,88.0,26.0,90.0,27.0,91.0,28.0,91.0,E. Hazard,Forward,Real Madrid,29.0,88.0,89.5,89.23,30.0,31.0,32.0,89.06,88.96,88.9
Franck Bilal Ribéry,31.0,88.0,32.0,87.0,33.0,86.0,34.0,86.0,35.0,85.0,36.0,81.0,F. Ribéry,Forward,Fiorentina,37.0,81.0,81.0,80.52,38.0,39.0,40.0,80.05,79.64,79.28
Radamel Falcao García Zárate,28.0,88.0,29.0,83.0,30.0,81.0,31.0,84.0,32.0,85.0,33.0,83.0,Falcao,Forward,Galatasaray SK,34.0,80.0,81.5,81.13,35.0,36.0,37.0,80.78,80.49,80.24
Gareth Frank Bale,24.0,87.0,25.0,87.0,26.0,90.0,27.0,89.0,28.0,88.0,29.0,85.0,G. Bale,Forward,Tottenham Hotspur,30.0,83.0,84.0,83.79,31.0,32.0,33.0,83.62,83.51,83.44
Robert Lewandowski,25.0,87.0,26.0,87.0,27.0,90.0,28.0,91.0,29.0,90.0,30.0,89.0,R. Lewandowski,Forward,FC Bayern München,31.0,91.0,90.0,89.61,32.0,33.0,34.0,89.33,89.11,88.94
Sergio Ramos García,28.0,87.0,29.0,87.0,30.0,89.0,31.0,90.0,32.0,91.0,33.0,89.0,Sergio Ramos,Defender,Real Madrid,34.0,89.0,89.0,88.48,35.0,36.0,37.0,88.06,87.71,87.4
Thiago Emiliano da Silva,29.0,87.0,30.0,88.0,31.0,89.0,32.0,88.0,33.0,88.0,34.0,87.0,Thiago Silva,Defender,Chelsea,35.0,85.0,86.0,85.5,36.0,37.0,38.0,85.07,84.7,84.38
David Josué Jiménez Silva,28.0,87.0,29.0,88.0,30.0,87.0,31.0,87.0,32.0,89.0,33.0,88.0,David Silva,Midfielder,Real Sociedad,34.0,86.0,87.0,86.53,35.0,36.0,37.0,86.14,85.81,85.52
Luka Modrić,28.0,87.0,29.0,87.0,30.0,89.0,31.0,89.0,32.0,91.0,33.0,90.0,L. Modrić,Midfielder,Real Madrid,34.0,87.0,88.5,87.99,35.0,36.0,37.0,87.58,87.23,86.93
James David Rodríguez Rubio,22.0,86.0,23.0,87.0,24.0,87.0,25.0,86.0,26.0,88.0,27.0,85.0,J. Rodríguez,Forward,Everton,28.0,82.0,83.5,83.4,29.0,30.0,31.0,83.33,83.32,83.35
Neymar da Silva Santos Júnior,22.0,86.0,23.0,88.0,24.0,92.0,25.0,92.0,26.0,92.0,27.0,92.0,Neymar Jr,Forward,Paris Saint-Germain,28.0,91.0,91.5,91.23,29.0,30.0,31.0,91.09,91.01,90.97
Thibaut Courtois,22.0,86.0,23.0,86.0,24.0,89.0,25.0,89.0,26.0,90.0,27.0,88.0,T. Courtois,Goalkeeper,Real Madrid,28.0,89.0,88.5,88.31,29.0,30.0,31.0,88.21,88.17,88.17
Mats Hummels,25.0,86.0,26.0,86.0,27.0,87.0,28.0,88.0,29.0,89.0,30.0,87.0,M. Hummels,Defender,Borussia Dortmund,31.0,86.0,86.5,86.19,32.0,33.0,34.0,85.95,85.77,85.63
Ángel Fabián Di María Hernández,26.0,86.0,27.0,85.0,28.0,87.0,29.0,85.0,30.0,84.0,31.0,86.0,A. Di María,Forward,Paris Saint-Germain,32.0,87.0,86.5,86.14,33.0,34.0,35.0,85.85,85.62,85.43
Marco Reus,25.0,86.0,26.0,86.0,27.0,88.0,28.0,86.0,29.0,85.0,30.0,88.0,M. Reus,Midfielder,Borussia Dortmund,31.0,85.0,86.5,86.19,32.0,33.0,34.0,85.95,85.77,85.63
Thomas Müller,24.0,86.0,25.0,86.0,26.0,87.0,27.0,86.0,28.0,86.0,29.0,86.0,T. Müller,Midfielder,FC Bayern München,30.0,86.0,86.0,85.75,31.0,32.0,33.0,85.57,85.45,85.37
Sergio Leonel Agüero del Castillo,26.0,86.0,27.0,87.0,28.0,89.0,29.0,89.0,30.0,89.0,31.0,89.0,S. Agüero,Forward,Manchester City,32.0,89.0,89.0,88.58,33.0,34.0,35.0,88.26,88.01,87.8
Wayne Mark Rooney,28.0,86.0,29.0,86.0,30.0,84.0,31.0,81.0,32.0,80.0,33.0,80.0,W. Rooney,Midfielder,Derby County,34.0,77.0,78.5,78.18,35.0,36.0,37.0,77.84,77.56,77.33
Sergio Busquets i Burgos,25.0,85.0,26.0,86.0,27.0,87.0,28.0,86.0,29.0,88.0,30.0,89.0,Sergio Busquets,Midfielder,FC Barcelona,31.0,87.0,88.0,87.66,32.0,33.0,34.0,87.41,87.22,87.07
Toni Kroos,24.0,85.0,25.0,87.0,26.0,88.0,27.0,90.0,28.0,90.0,29.0,88.0,T. Kroos,Midfielder,Real Madrid,30.0,88.0,88.0,87.71,31.0,32.0,33.0,87.51,87.37,87.27
Karim Benzema,26.0,85.0,27.0,86.0,28.0,87.0,29.0,86.0,30.0,84.0,31.0,87.0,K. Benzema,Forward,Real Madrid,32.0,89.0,88.0,87.61,33.0,34.0,35.0,87.3,87.06,86.86
Arturo Erasmo Vidal Pardo,27.0,85.0,28.0,86.0,29.0,87.0,30.0,87.0,31.0,85.0,32.0,84.0,A. Vidal,Forward,Inter,33.0,83.0,83.5,83.15,34.0,35.0,36.0,82.83,82.57,82.35
Hugo Lloris,27.0,85.0,28.0,85.0,29.0,88.0,30.0,88.0,31.0,88.0,32.0,88.0,H. Lloris,Goalkeeper,Tottenham Hotspur,33.0,87.0,87.5,87.07,34.0,35.0,36.0,86.72,86.43,86.18
Javier Martínez Aginaga,25.0,85.0,26.0,84.0,27.0,84.0,28.0,86.0,29.0,84.0,30.0,84.0,Javi Martínez,Midfielder,FC Bayern München,31.0,81.0,82.5,82.26,32.0,33.0,34.0,82.04,81.88,81.76
Juan Manuel Mata García,26.0,85.0,27.0,84.0,28.0,84.0,29.0,84.0,30.0,83.0,31.0,82.0,Juan Mata,Midfielder,Manchester United,32.0,79.0,80.5,80.24,33.0,34.0,35.0,79.98,79.78,79.62
Jérôme Boateng,25.0,85.0,26.0,87.0,27.0,90.0,28.0,88.0,29.0,86.0,30.0,84.0,J. Boateng,Defender,FC Bayern München,31.0,82.0,83.0,82.75,32.0,33.0,34.0,82.53,82.37,82.25
Carlos Alberto Tevez,30.0,85.0,31.0,86.0,32.0,83.0,,,34.0,78.0,35.0,78.0,C. Tévez,Forward,Boca Juniors,36.0,78.0,78.0,77.62,37.0,38.0,39.0,77.21,76.86,76.56
Gerard Piqué Bernabéu,27.0,84.0,28.0,85.0,29.0,86.0,30.0,87.0,31.0,87.0,32.0,88.0,Piqué,Defender,FC Barcelona,33.0,86.0,87.0,86.58,34.0,35.0,36.0,86.23,85.95,85.71
Arda Turan,27.0,84.0,28.0,83.0,29.0,84.0,30.0,82.0,31.0,78.0,32.0,76.0,A. Turan,Midfielder,Galatasaray SK,33.0,74.0,75.0,74.77,34.0,35.0,36.0,74.48,74.25,74.06
Alexis Alejandro Sánchez Sánchez,25.0,84.0,26.0,86.0,27.0,87.0,28.0,89.0,29.0,87.0,30.0,82.0,A. Sánchez,Forward,Inter,31.0,80.0,81.0,80.78,32.0,33.0,34.0,80.57,80.42,80.31
Oscar dos Santos Emboaba Júnior,22.0,84.0,23.0,84.0,24.0,83.0,25.0,83.0,26.0,82.0,27.0,83.0,Oscar,Midfielder,Shanghai SIPG FC,28.0,83.0,83.0,82.91,29.0,30.0,31.0,82.84,82.83,82.86
Gonzalo Gerardo Higuaín,26.0,84.0,27.0,84.0,28.0,88.0,29.0,90.0,30.0,88.0,31.0,85.0,G. Higuaín,Forward,Inter Miami,32.0,83.0,84.0,83.68,33.0,34.0,35.0,83.41,83.2,83.03
Salvatore Sirigu,27.0,84.0,28.0,82.0,29.0,82.0,30.0,79.0,31.0,82.0,32.0,84.0,S. Sirigu,Goalkeeper,Torino,33.0,84.0,84.0,83.64,34.0,35.0,36.0,83.32,83.06,82.84
Giorgio Chiellini,29.0,84.0,30.0,87.0,31.0,88.0,32.0,89.0,33.0,89.0,34.0,89.0,G. Chiellini,Defender,Juventus,35.0,87.0,88.0,87.46,36.0,37.0,38.0,87.01,86.62,86.28
Francesc Fàbregas i Soler,27.0,84.0,28.0,87.0,29.0,86.0,30.0,86.0,31.0,84.0,32.0,81.0,Cesc Fàbregas,Midfielder,AS Monaco,33.0,75.0,78.0,77.73,34.0,35.0,36.0,77.43,77.2,77.01
Diego Roberto Godín Leal,28.0,84.0,29.0,85.0,30.0,88.0,31.0,88.0,32.0,90.0,33.0,88.0,D. Godín,Defender,Inter,34.0,85.0,86.5,86.04,35.0,36.0,37.0,85.65,85.32,85.04
Paul Pogba,21.0,83.0,22.0,86.0,23.0,88.0,24.0,87.0,25.0,88.0,26.0,88.0,P. Pogba,Midfielder,Manchester United,27.0,86.0,87.0,86.9,28.0,29.0,30.0,86.87,86.9,86.97
Francisco Román Alarcón Suárez,22.0,83.0,23.0,84.0,24.0,84.0,25.0,86.0,26.0,89.0,27.0,86.0,Isco,Forward,Real Madrid,28.0,84.0,85.0,84.88,29.0,30.0,31.0,84.81,84.8,84.83
İlkay Gündoğan,23.0,83.0,24.0,82.0,25.0,85.0,26.0,85.0,27.0,84.0,28.0,84.0,I. Gündoğan,Midfielder,Manchester City,29.0,83.0,83.5,83.35,30.0,31.0,32.0,83.23,83.17,83.15
David De Gea Quintana,23.0,83.0,24.0,86.0,25.0,90.0,26.0,90.0,27.0,91.0,28.0,89.0,De Gea,Goalkeeper,Manchester United,29.0,86.0,87.5,87.28,30.0,31.0,32.0,87.14,87.06,87.02
Juan Guillermo Cuadrado Bello,26.0,83.0,27.0,82.0,28.0,82.0,29.0,82.0,30.0,84.0,31.0,83.0,J. Cuadrado,Midfielder,Juventus,32.0,81.0,82.0,81.72,33.0,34.0,35.0,81.46,81.26,81.1
Miralem Pjanić,24.0,83.0,25.0,84.0,26.0,85.0,27.0,85.0,28.0,86.0,29.0,86.0,M. Pjanić,Midfielder,FC Barcelona,30.0,85.0,85.5,85.26,31.0,32.0,33.0,85.08,84.96,84.88
Aaron Ramsey,23.0,83.0,24.0,82.0,25.0,84.0,26.0,82.0,27.0,82.0,28.0,83.0,A. Ramsey,Midfielder,Juventus,29.0,82.0,82.5,82.36,30.0,31.0,32.0,82.24,82.18,82.16
Pedro Eliezer Rodríguez Ledesma,26.0,83.0,27.0,83.0,28.0,83.0,29.0,84.0,30.0,82.0,31.0,82.0,Pedro,Forward,Roma,32.0,80.0,81.0,80.73,33.0,34.0,35.0,80.47,80.27,80.11
Blaise Matuidi,27.0,83.0,28.0,84.0,29.0,86.0,30.0,85.0,31.0,85.0,32.0,85.0,B. Matuidi,Midfielder,Inter Miami,33.0,83.0,84.0,83.64,34.0,35.0,36.0,83.32,83.06,82.84
Ivan Rakitić,26.0,83.0,27.0,84.0,28.0,87.0,29.0,87.0,30.0,87.0,31.0,86.0,I. Rakitić,Midfielder,Sevilla FC,32.0,82.0,84.0,83.68,33.0,34.0,35.0,83.41,83.2,83.03
Kléper Laveran de Lima Ferreira,31.0,83.0,32.0,84.0,33.0,88.0,34.0,86.0,35.0,85.0,36.0,84.0,Pepe,Defender,FC Porto,37.0,81.0,82.5,81.99,38.0,39.0,40.0,81.51,81.09,80.71
Javier Alejandro Mascherano,30.0,83.0,31.0,83.0,32.0,85.0,33.0,83.0,34.0,80.0,35.0,80.0,J. Mascherano,Midfielder,Estudiantes de La Plata,36.0,79.0,79.5,79.09,37.0,38.0,39.0,78.67,78.31,77.99
Álvaro Negredo Sánchez,28.0,83.0,29.0,81.0,30.0,80.0,31.0,79.0,32.0,78.0,33.0,76.0,Negredo,Forward,Cádiz CF,34.0,76.0,76.0,75.72,35.0,36.0,37.0,75.39,75.12,74.9
Jesús Navas González,28.0,83.0,29.0,80.0,30.0,80.0,31.0,78.0,32.0,78.0,33.0,82.0,Jesús Navas,Defender,Sevilla FC,34.0,84.0,83.0,82.61,35.0,36.0,37.0,82.25,81.95,81.69
Diego López Rodríguez,32.0,83.0,33.0,82.0,34.0,81.0,35.0,83.0,36.0,80.0,37.0,80.0,Diego López,Goalkeeper,RCD Espanyol,38.0,76.0,78.0,77.55,39.0,40.0,41.0,77.07,76.66,76.29
Igor Akinfeev,28.0,83.0,29.0,81.0,30.0,80.0,31.0,79.0,32.0,80.0,33.0,80.0,I. Akinfeev,Goalkeeper,PFC CSKA Moscow,34.0,80.0,80.0,79.66,35.0,36.0,37.0,79.32,79.04,78.8
João Filipe Iria Santos Moutinho,27.0,83.0,28.0,83.0,29.0,83.0,30.0,82.0,31.0,81.0,32.0,84.0,João Moutinho,Midfielder,Wolverhampton Wanderers,33.0,83.0,83.5,83.15,34.0,35.0,36.0,82.83,82.57,82.35
Samir Handanovič,29.0,83.0,30.0,83.0,31.0,87.0,32.0,87.0,33.0,88.0,34.0,88.0,S. Handanovič,Goalkeeper,Inter,35.0,88.0,88.0,87.46,36.0,37.0,38.0,87.01,86.62,86.28
João Miranda de Souza Filho,29.0,83.0,30.0,84.0,31.0,86.0,32.0,86.0,33.0,85.0,34.0,83.0,Miranda,Defender,Jiangsu Suning FC,35.0,80.0,81.5,81.09,36.0,37.0,38.0,80.7,80.37,80.08
Claudio Andrés Bravo Muñoz,31.0,83.0,32.0,83.0,33.0,85.0,34.0,82.0,35.0,79.0,36.0,77.0,C. Bravo,Goalkeeper,Real Betis,37.0,77.0,77.0,76.6,38.0,39.0,40.0,76.17,75.8,75.47
Edin Džeko,28.0,83.0,29.0,81.0,30.0,80.0,31.0,84.0,32.0,85.0,33.0,84.0,E. Džeko,Forward,Roma,34.0,83.0,83.5,83.1,35.0,36.0,37.0,82.74,82.44,82.18
Givanildo Vieira de Souza,27.0,83.0,28.0,84.0,,,,,31.0,81.0,32.0,80.0,Hulk,Forward,Shanghai SIPG FC,33.0,80.0,80.0,79.7,34.0,35.0,36.0,79.4,79.16,78.96
Christian Dannemann Eriksen,22.0,82.0,23.0,83.0,24.0,84.0,25.0,87.0,26.0,88.0,27.0,88.0,C. Eriksen,Midfielder,Inter,28.0,85.0,86.5,86.35,29.0,30.0,31.0,86.27,86.25,86.27
Marc-André ter Stegen,22.0,82.0,23.0,82.0,24.0,83.0,25.0,85.0,26.0,89.0,27.0,90.0,M. ter Stegen,Goalkeeper,FC Barcelona,28.0,90.0,90.0,89.77,29.0,30.0,31.0,89.65,89.59,89.57
Antoine Griezmann,23.0,82.0,24.0,83.0,25.0,88.0,26.0,88.0,27.0,89.0,28.0,89.0,A. Griezmann,Forward,FC Barcelona,29.0,87.0,88.0,87.76,30.0,31.0,32.0,87.61,87.52,87.47
Carlos Alberto Vela Garrido,25.0,82.0,26.0,82.0,27.0,81.0,28.0,82.0,29.0,81.0,30.0,83.0,C. Vela,Forward,Los Angeles FC,31.0,83.0,83.0,82.75,32.0,33.0,34.0,82.53,82.37,82.25
David Olatukunbo Alaba,22.0,82.0,23.0,85.0,24.0,87.0,25.0,86.0,26.0,85.0,27.0,85.0,D. Alaba,Defender,FC Bayern München,28.0,84.0,84.5,84.38,29.0,30.0,31.0,84.31,84.3,84.33
Lucas Rodrigues Moura da Silva,21.0,82.0,22.0,82.0,23.0,82.0,24.0,82.0,25.0,82.0,26.0,83.0,Lucas Moura,Midfielder,Tottenham Hotspur,27.0,83.0,83.0,82.96,28.0,29.0,30.0,82.95,83.0,83.09
Marek Hamšík,26.0,82.0,27.0,83.0,28.0,85.0,29.0,87.0,30.0,87.0,31.0,84.0,M. Hamšík,Midfielder,Dalian YiFang FC,32.0,81.0,82.5,82.21,33.0,34.0,35.0,81.94,81.74,81.58
Dries Mertens,27.0,82.0,28.0,82.0,29.0,83.0,30.0,86.0,31.0,87.0,32.0,87.0,D. Mertens,Forward,Napoli,33.0,85.0,86.0,85.6,34.0,35.0,36.0,85.26,84.99,84.76
Marcelo Vieira da Silva Júnior,26.0,82.0,27.0,83.0,28.0,86.0,29.0,87.0,30.0,88.0,31.0,85.0,Marcelo,Defender,Real Madrid,32.0,83.0,84.0,83.68,33.0,34.0,35.0,83.41,83.2,83.03
Nemanja Matić,25.0,82.0,26.0,84.0,27.0,84.0,28.0,83.0,29.0,86.0,30.0,81.0,N. Matić,Midfielder,Manchester United,31.0,80.0,80.5,80.29,32.0,33.0,34.0,80.08,79.93,79.82
Bernd Leno,22.0,82.0,23.0,84.0,24.0,86.0,25.0,85.0,26.0,84.0,27.0,84.0,B. Leno,Goalkeeper,Arsenal,28.0,85.0,84.5,84.38,29.0,30.0,31.0,84.31,84.3,84.33
Jorge Resurrección Merodio,22.0,82.0,23.0,83.0,24.0,84.0,25.0,84.0,26.0,85.0,27.0,85.0,Koke,Midfielder,Atlético Madrid,28.0,85.0,85.0,84.88,29.0,30.0,31.0,84.81,84.8,84.83
Asmir Begović,27.0,82.0,28.0,82.0,29.0,83.0,30.0,82.0,31.0,79.0,32.0,75.0,A. Begović,Goalkeeper,Bournemouth,33.0,75.0,75.0,74.77,34.0,35.0,36.0,74.48,74.25,74.06
Jan Bert Lieve Vertonghen,27.0,82.0,28.0,82.0,29.0,83.0,30.0,85.0,31.0,87.0,32.0,87.0,J. Vertonghen,Defender,SL Benfica,33.0,83.0,85.0,84.62,34.0,35.0,36.0,84.29,84.02,83.8
Willian Borges da Silva,25.0,82.0,26.0,82.0,27.0,85.0,28.0,84.0,29.0,84.0,30.0,82.0,Willian,Forward,Arsenal,31.0,82.0,82.0,81.77,32.0,33.0,34.0,81.55,81.39,81.27
Simon Luc Hildebert Mignolet,26.0,82.0,27.0,78.0,28.0,78.0,29.0,81.0,30.0,79.0,31.0,78.0,S. Mignolet,Goalkeeper,Club Brugge KV,32.0,81.0,79.5,79.25,33.0,34.0,35.0,78.99,78.79,78.63
David Luiz Moreira Marinho,27.0,82.0,28.0,83.0,29.0,84.0,30.0,86.0,31.0,83.0,32.0,83.0,David Luiz,Defender,Arsenal,33.0,80.0,81.5,81.18,34.0,35.0,36.0,80.87,80.62,80.41
Luiz Gustavo Dias,26.0,82.0,27.0,83.0,28.0,83.0,29.0,80.0,30.0,83.0,31.0,81.0,Luiz Gustavo,Defender,Fenerbahçe SK,32.0,80.0,80.5,80.24,33.0,34.0,35.0,79.98,79.78,79.62
Rodrigo Sebastián Palacio,32.0,82.0,33.0,80.0,34.0,79.0,35.0,78.0,36.0,77.0,37.0,76.0,R. Palacio,Forward,Bologna,38.0,75.0,75.5,75.1,39.0,40.0,41.0,74.65,74.27,73.93
Dante Bonfim da Costa Santos,30.0,82.0,,,32.0,80.0,33.0,81.0,34.0,80.0,35.0,79.0,Dante,Defender,OGC Nice,36.0,76.0,77.5,77.12,37.0,38.0,39.0,76.71,76.37,76.07
Steve Mandanda,29.0,82.0,30.0,83.0,31.0,85.0,32.0,82.0,33.0,83.0,34.0,80.0,S. Mandanda,Goalkeeper,Olympique de Marseille,35.0,83.0,81.5,81.09,36.0,37.0,38.0,80.7,80.37,80.08
Jakub Błaszczykowski,28.0,82.0,29.0,80.0,30.0,79.0,31.0,76.0,32.0,75.0,33.0,75.0,J. Błaszczykowski,Midfielder,Wisła Kraków,34.0,75.0,75.0,74.74,35.0,36.0,37.0,74.42,74.16,73.94
Néstor Fernando Muslera Micol,28.0,82.0,29.0,82.0,30.0,83.0,31.0,82.0,32.0,81.0,33.0,81.0,F. Muslera,Goalkeeper,Galatasaray SK,34.0,82.0,81.5,81.13,35.0,36.0,37.0,80.78,80.49,80.24
Sofiane Feghouli,24.0,81.0,25.0,81.0,26.0,80.0,27.0,79.0,28.0,79.0,29.0,80.0,S. Feghouli,Midfielder,Galatasaray SK,30.0,79.0,79.5,79.35,31.0,32.0,33.0,79.19,79.09,79.03
Raphaël Varane,21.0,81.0,22.0,82.0,23.0,84.0,24.0,85.0,25.0,86.0,26.0,85.0,R. Varane,Defender,Real Madrid,27.0,86.0,85.5,85.42,28.0,29.0,30.0,85.4,85.44,85.52
Aymeric Laporte,20.0,81.0,21.0,83.0,22.0,84.0,23.0,84.0,24.0,83.0,25.0,87.0,A. Laporte,Defender,Manchester City,26.0,87.0,87.0,86.95,27.0,28.0,29.0,86.98,87.07,87.19
Philippe Coutinho Correia,22.0,81.0,23.0,84.0,24.0,85.0,25.0,86.0,26.0,88.0,27.0,86.0,Coutinho,Midfielder,FC Barcelona,28.0,83.0,84.5,84.38,29.0,30.0,31.0,84.31,84.3,84.33
Thiago Alcântara do Nascimento,23.0,81.0,24.0,83.0,25.0,84.0,26.0,88.0,27.0,86.0,28.0,87.0,Thiago,Midfielder,Liverpool,29.0,85.0,86.0,85.8,30.0,31.0,32.0,85.67,85.6,85.57
Kevin De Bruyne,23.0,81.0,24.0,86.0,25.0,88.0,26.0,89.0,27.0,91.0,28.0,91.0,K. De Bruyne,Midfielder,Manchester City,29.0,91.0,91.0,90.69,30.0,31.0,32.0,90.5,90.37,90.29
Jordi Alba Ramos,25.0,81.0,26.0,84.0,27.0,86.0,28.0,85.0,29.0,87.0,30.0,87.0,Jordi Alba,Defender,FC Barcelona,31.0,86.0,86.5,86.19,32.0,33.0,34.0,85.95,85.77,85.63
